"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"","","C1","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","C1525"
"","","C2","15pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","C1548"
"","","D1","LED_A1","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D2","LED_A2","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D3","LED_A3","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D4","LED_A4","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D5","LED_A5","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D6","LED_A6","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D7","LED_A7","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D8","LED_A8","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D9","LED_A9","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D10","LED_A10","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D11","LED_A11","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D12","LED_A12","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D13","LED_A13","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D14","LED_A14","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D15","LED_A15","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D16","LED_A16","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D17","LED_A17","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D18","LED_A18","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D19","LED_A19","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D20","LED_A20","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D21","LED_A21","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D22","LED_A22","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D23","LED_A23","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D24","LED_AS","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"","","D25","LED_D0","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D26","LED_D1","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D27","LED_D2","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D28","LED_D3","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D29","LED_D4","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D30","LED_D5","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D31","LED_D6","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D32","LED_D7","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D33","LED_D8","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D34","LED_D9","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D35","LED_D10","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D36","LED_D11","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D37","LED_D12","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D38","LED_D13","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D39","LED_D14","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D40","LED_D15","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D41","LED_IPL1","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D42","LED_BG","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D43","LED_VMA","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D44","LED_E","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D45","LED_FC0","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D46","LED_FC1","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D47","LED_FC2","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72038"
"","","D48","LED_UDS","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D49","LED_LDS","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D50","LED_RW","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D51","LED_HALT","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D52","LED_RST","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72041"
"","","D53","LED_IPL0","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C2286"
"","","D54","LED_IPL2","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C2286"
"","","D55","LED_BGACK","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C2286"
"","","D56","LED_BR","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C2286"
"","","D57","LED_VPA","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C2286"
"","","D58","LED_BERR","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C2286"
"","","D59","LED_SPARE1","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C2290"
"","","D60","LED_SPARE2","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C2290"
"","","J1","USB_B_Micro","Connector:USB_B_Micro","My_parts:micro_usb_U-F-M5SS-W-1","~","C145783"
"","","J2","Conn_02x12_Odd_Even","Connector_Generic:Conn_02x12_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x12_P2.54mm_Vertical","~",""
"","","J3","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~",""
"","","J4","Conn_01x16_Female","Connector:Conn_01x16_Female","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~",""
"","","J5","Conn_01x16_Female","Connector:Conn_01x16_Female","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~",""
"","","J6","Conn_01x16_Female","Connector:Conn_01x16_Female","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~",""
"","","J7","Conn_02x13_Odd_Even","Connector_Generic:Conn_02x13_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x13_P2.54mm_Vertical","~",""
"","","J8","Conn_01x13","Connector_Generic:Conn_01x13","Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical","~",""
"","","J9","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~",""
"","","RN1","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN2","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN3","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN4","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN5","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN6","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN7","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN8","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN9","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN10","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN11","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN12","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN13","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN14","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","RN15","R_Pack04","Device:R_Pack04","Resistor_SMD:R_Array_Concave_4x0402","~","C25726"
"","","U2","68000D","CPU_NXP_68000:68000D","ZZ9 parts:DIP-64_W22.86mm_Socket_LongPads-big_holes","https://www.nxp.com/docs/en/reference-manual/MC68000UM.pdf",""
"","","X1","8MHz","Oscillator:TXC-7C","Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm","https://datasheet.lcsc.com/lcsc/1912111437_Shenzhen-SCTF-Elec-S3D8-000000A20F30T_C387338.pdf","C387338"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"1","1","C1","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","C1525"
"2","1","C2","15pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","C1548"
"3","1","D1","LED_A1","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"4","1","D2","LED_A2","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"5","1","D3","LED_A3","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"6","1","D4","LED_A4","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"7","1","D5","LED_A5","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"8","1","D6","LED_A6","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"9","1","D7","LED_A7","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"10","1","D8","LED_A8","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"11","1","D9","LED_A9","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
"12","1","D10","LED_A10","Device:LED_Small_ALT","LED_SMD:LED_0603_1608Metric","~","C72043"
